x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary
0,4,0.5,low,A,True
1,1,1.0,mid,A,True
1,2,0.0,mid,B,True
0,2,0.75,mid,B,False
0,1,1.0,high,C,False
1,4,0.75,high,A,True
1,5,1.0,mid,B,True
0,2,0.0,max,A,False
1,3,0.0,low,A,True
1,5,0.75,mid,B,False
1,3,0.25,high,B,True
0,4,0.5,high,A,True
1,2,0.75,max,C,True
0,2,0.75,max,C,True
1,5,0.5,high,B,True
1,2,0.5,mid,A,False
1,4,0.0,high,A,True
1,1,0.25,low,B,False
1,5,0.0,max,C,False
1,1,0.75,high,C,True
0,3,0.25,max,B,False
0,3,0.25,mid,B,True
0,2,0.5,max,C,True
1,5,0.25,low,A,True
0,5,1.0,mid,B,False
