x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary
0,1,0.5,mid,C,False
0,3,0.5,high,B,False
1,3,1.0,max,A,True
1,5,1.0,max,C,True
0,5,0.0,max,A,True
1,5,1.0,low,A,False
1,5,0.0,low,C,False
0,5,0.0,low,A,False
1,3,0.75,mid,C,True
0,5,1.0,low,A,True
0,2,0.5,high,C,False
0,1,0.5,high,C,False
0,1,0.0,max,C,True
1,4,0.75,low,C,True
1,3,0.5,high,B,False
0,3,0.0,low,C,True
0,4,0.0,high,B,True
0,2,0.5,high,B,False
0,1,0.0,max,A,True
0,1,0.0,low,A,False
1,3,0.25,mid,A,False
1,3,0.0,mid,B,False
0,1,0.75,high,A,False
1,1,1.0,low,C,False
1,2,0.75,high,C,False
