x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary
1,1,1.0,low,C,False
1,5,1.0,max,C,True
0,1,1.0,max,B,False
1,2,0.25,low,A,True
0,5,0.0,max,A,True
0,4,0.25,high,A,True
1,2,0.5,mid,C,True
1,4,0.5,high,A,False
0,5,0.5,high,B,False
1,5,0.0,mid,A,False
1,4,0.0,high,B,False
0,4,0.5,low,C,False
0,1,0.0,max,C,True
1,3,0.5,high,B,False
0,1,0.0,low,A,False
1,5,0.75,low,B,False
0,3,0.5,high,B,False
1,4,1.0,max,A,True
1,5,0.75,high,B,False
1,2,0.75,mid,B,True
0,2,0.0,max,A,False
0,4,0.25,max,B,False
1,4,0.5,high,A,True
0,4,0.75,max,A,True
1,5,1.0,low,A,False
