iteration,phase,y_value,lambda_t,gamma_t,r_t,n_train,x0,x1,x2,x3,x4,x5
2,warmup,4.792469998550499,,,,,4.0,8.0,2.0,2.0,1.0,2.0
3,warmup,2.233536473793073,,,,,2.7999999523,8.0,0.0,1.0,0.0,2.0
4,eur,4.4987202607642685,,,,3.0,2.7999999523,8.0,2.0,0.0,1.0,1.0
4,eur,4.462733022812781,,,,3.0,2.7999999523,6.5,2.0,2.0,0.0,2.0
5,eur,4.019701996830463,,,,4.0,4.0,8.0,2.0,0.0,0.0,2.0
6,eur,4.519714638516563,,,,5.0,4.0,8.0,2.0,2.0,0.0,0.0
7,eur,6.925993968672541,,,,6.0,8.5,8.0,2.0,0.0,1.0,1.0
8,eur,3.405924750984483,,,,7.0,2.7999999523,6.5,1.0,0.0,0.0,0.0
9,eur,3.128504756208688,,,,8.0,2.7999999523,6.5,2.0,1.0,0.0,0.0
10,eur,5.31777128124491,,,,9.0,8.5,8.0,1.0,0.0,0.0,1.0
11,eur,2.3831683622292896,,,,10.0,2.7999999523,8.0,0.0,2.0,0.0,0.0
12,eur,2.7413880897509024,,,,11.0,4.0,8.0,0.0,2.0,0.0,0.0
13,eur,3.0513109586425893,,,,12.0,2.7999999523,6.5,1.0,2.0,0.0,1.0
14,eur,0.9767742116134959,,,,13.0,4.0,6.5,0.0,0.0,0.0,1.0
15,eur,2.4218133166486804,,,,14.0,4.0,6.5,2.0,0.0,0.0,0.0
16,eur,3.81703860248445,,,,15.0,8.5,6.5,0.0,2.0,1.0,1.0
17,eur,2.8201200760855127,,,,16.0,2.7999999523,6.5,2.0,2.0,1.0,0.0
18,eur,2.3819704317932464,,,,17.0,2.7999999523,6.5,0.0,2.0,0.0,2.0
19,eur,5.360821562580518,,,,18.0,8.5,8.0,2.0,2.0,1.0,0.0
20,eur,1.557526162190778,,,,19.0,2.7999999523,6.5,1.0,0.0,1.0,2.0
21,eur,5.478549552069596,,,,20.0,8.5,8.0,0.0,0.0,1.0,1.0
22,eur,3.7761522963090832,,,,21.0,4.0,6.5,2.0,2.0,0.0,0.0
23,eur,2.741996703304587,,,,22.0,2.7999999523,6.5,0.0,2.0,1.0,0.0
24,eur,3.4029439919830695,,,,23.0,4.0,8.0,2.0,0.0,0.0,0.0
25,eur,2.6708253354942104,,,,24.0,2.7999999523,6.5,2.0,0.0,0.0,2.0
26,eur,4.89541044712473,,,,25.0,8.5,6.5,2.0,0.0,1.0,2.0
27,eur,3.713735040752258,,,,26.0,4.0,8.0,2.0,1.0,0.0,0.0
28,eur,3.8792875075047686,,,,27.0,2.7999999523,6.5,2.0,2.0,0.0,0.0
29,eur,2.3775081944574055,,,,28.0,2.7999999523,8.0,0.0,2.0,1.0,1.0
30,eur,4.805395863025102,,,,29.0,8.5,8.0,1.0,0.0,1.0,1.0
31,eur,3.936686003950796,,,,30.0,4.0,8.0,2.0,2.0,0.0,2.0
32,eur,4.076254202071882,,,,31.0,4.0,6.5,0.0,2.0,0.0,1.0
33,eur,4.0396071369517905,,,,32.0,8.5,6.5,0.0,1.0,0.0,0.0
34,eur,1.7005625942407003,,,,33.0,2.7999999523,6.5,1.0,0.0,0.0,2.0
35,eur,5.133359582319455,,,,34.0,8.5,8.0,0.0,0.0,1.0,0.0
36,eur,3.4099504759490475,,,,35.0,2.7999999523,8.0,2.0,2.0,1.0,0.0
37,eur,4.3008250492159785,,,,36.0,2.7999999523,8.0,2.0,0.0,0.0,0.0
38,eur,3.5710540549784984,,,,37.0,8.5,8.0,1.0,2.0,1.0,2.0
39,eur,1.3172967280430938,,,,38.0,2.7999999523,6.5,0.0,0.0,1.0,1.0
40,eur,3.98158320198515,,,,39.0,4.0,8.0,1.0,0.0,1.0,0.0
41,eur,4.718619266596466,,,,40.0,8.5,8.0,0.0,2.0,0.0,2.0
42,eur,3.6019536125770872,,,,41.0,2.7999999523,8.0,1.0,0.0,1.0,0.0
43,eur,3.310950870244771,,,,42.0,4.0,8.0,1.0,0.0,0.0,2.0
44,eur,4.218150154396247,,,,43.0,8.5,8.0,0.0,2.0,0.0,0.0
45,eur,1.8515380531119663,,,,44.0,2.7999999523,8.0,0.0,2.0,1.0,0.0
46,eur,3.9057200602679236,,,,45.0,4.0,8.0,2.0,1.0,1.0,1.0
47,eur,4.525308196726889,,,,46.0,8.5,8.0,1.0,0.0,1.0,2.0
48,eur,3.3039840998834507,,,,47.0,2.7999999523,8.0,0.0,0.0,1.0,2.0
49,eur,3.964586130651431,,,,48.0,4.0,6.5,2.0,1.0,0.0,1.0
50,eur,2.502459133418829,,,,49.0,4.0,6.5,2.0,1.0,1.0,0.0
51,eur,5.449544704117708,,,,50.0,8.5,6.5,2.0,1.0,0.0,0.0
52,eur,4.753486691763152,,,,51.0,8.5,6.5,2.0,1.0,0.0,1.0
53,eur,3.9287700597644113,,,,52.0,8.5,8.0,0.0,1.0,1.0,1.0
