iteration,phase,y_value,lambda_t,gamma_t,r_t,n_train,x0,x1,x2,x3,x4,x5
2,warmup,3.232469898,,,,,4,8,0,1,0,1
3,warmup,3.923536538,,,,,4,8,1,2,1,0
4,eur,6.158720275,,,,3,8.5,8,2,1,1,2
4,eur,5.63273309,,,,3,4,8,2,1,1,1
5,eur,4.169701901,,,,4,8.5,8,0,1,0,0
6,eur,4.899714594,,,,5,8.5,8,1,2,1,2
7,eur,3.915993868,,,,6,4,8,0,1,0,2
8,eur,5.700924794,,,,7,8.5,6.5,2,0,1,0
9,eur,3.888504809,,,,8,2.8,8,2,1,1,0
10,eur,4.367771281,,,,9,4,6.5,2,2,0,0
11,eur,2.813168413,,,,10,2.8,8,1,0,1,2
12,eur,4.451388143,,,,11,8.5,6.5,2,0,1,2
13,eur,4.736311044,,,,12,4,8,2,2,0,1
14,eur,3.736774265,,,,13,8.5,6.5,2,1,1,0
15,eur,2.176813295,,,,14,4,6.5,1,2,1,0
16,eur,2.817038641,,,,15,2.8,6.5,2,0,1,1
17,eur,3.260120118,,,,16,2.8,8,2,2,0,2
18,eur,2.681970432,,,,17,2.8,8,0,2,0,2
19,eur,3.20082151,,,,18,4,8,1,2,0,0
20,eur,2.057526162,,,,19,2.8,6.5,1,2,1,0
21,eur,5.9785496,,,,20,8.5,8,1,1,0,2
22,eur,3.926152249,,,,21,8.5,6.5,0,2,1,2
23,eur,4.451996813,,,,22,4,8,2,2,0,2
24,eur,2.252943935,,,,23,2.8,6.5,2,1,1,1
25,eur,4.085825329,,,,24,8.5,6.5,1,0,1,1
26,eur,4.610410418,,,,25,8.5,6.5,1,0,0,0
27,eur,2.013734945,,,,26,4,6.5,0,2,1,1
28,eur,3.879287508,,,,27,2.8,6.5,2,2,0,0
29,eur,3.267508259,,,,28,4,8,1,2,1,2
30,eur,3.705395863,,,,29,4,8,1,1,1,0
31,eur,3.186685956,,,,30,4,8,1,1,0,1
32,eur,5.726254202,,,,31,8.5,8,0,1,1,2
33,eur,4.229607218,,,,32,2.8,8,2,1,0,0
34,eur,5.03556268,,,,33,8.5,8,2,0,0,0
35,eur,3.673359616,,,,34,2.8,8,1,0,0,2
36,eur,2.479950426,,,,35,2.8,8,1,1,1,1
37,eur,3.910824968,,,,36,8.5,6.5,0,1,0,2
38,eur,2.7910541,,,,37,4,8,2,1,0,2
39,eur,3.87729679,,,,38,8.5,8,1,0,0,1
40,eur,2.441583137,,,,39,2.8,6.5,0,1,1,2
41,eur,3.318619267,,,,40,4,6.5,0,2,1,2
42,eur,3.4069536,,,,41,4,6.5,1,1,0,0
43,eur,3.520950876,,,,42,4,6.5,2,0,1,1
44,eur,2.618150154,,,,43,4,8,0,0,1,2
45,eur,1.101538053,,,,44,2.8,8,0,0,0,2
46,eur,1.935719945,,,,45,2.8,8,0,0,1,2
47,eur,2.945308185,,,,46,2.8,6.5,2,2,1,2
48,eur,5.173984215,,,,47,4,8,2,0,1,1
49,eur,3.454586116,,,,48,2.8,6.5,2,1,0,2
50,eur,2.79245908,,,,49,8.5,6.5,0,1,1,1
51,eur,2.864544666,,,,50,2.8,6.5,1,1,0,2
52,eur,4.883486694,,,,51,8.5,8,1,0,1,0
53,eur,1.568770045,,,,52,2.8,6.5,0,0,0,1
