x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y
0,1,0.0,max,C,True,5
0,2,0.0,high,C,True,5
1,5,1.0,low,A,False,2
1,3,0.25,high,B,False,5
0,5,0.75,max,B,False,5
0,5,1.0,mid,C,False,2
0,4,0.75,mid,C,False,2
1,5,0.5,low,B,False,4
0,1,0.5,low,B,False,2
1,5,1.0,max,C,True,5
1,2,0.5,max,B,False,5
0,4,0.0,high,B,True,3
1,1,1.0,low,C,False,5
1,4,0.75,high,B,False,5
1,3,0.5,high,B,True,5
0,1,1.0,low,B,True,2
1,5,0.5,high,C,False,5
0,3,0.5,high,B,True,3
1,1,0.75,max,B,False,5
0,3,0.0,low,B,True,1
1,2,1.0,mid,A,True,3
0,3,0.0,max,C,True,5
1,2,0.5,mid,A,False,4
0,1,0.0,low,A,False,2
0,5,0.0,max,A,True,5
