iteration,phase,y_value,lambda_t,gamma_t,r_t,n_train,x0,x1,x2,x3,x4,x5
2,warmup,4.082469945502365,,,,,4.0,8.0,1.0,0.0,0.0,0.0
3,warmup,5.193536535781903,,,,,8.5,6.5,2.0,2.0,0.0,0.0
4,eur,4.058720227385667,,,,3.0,4.0,6.5,2.0,1.0,1.0,2.0
4,eur,5.827733015958247,,,,3.0,8.5,6.5,1.0,0.0,1.0,0.0
5,eur,5.779702002194882,,,,4.0,8.5,8.0,2.0,1.0,1.0,0.0
6,eur,3.3697145908328467,,,,5.0,4.0,8.0,1.0,0.0,0.0,1.0
7,eur,4.995993918306617,,,,6.0,4.0,8.0,1.0,1.0,1.0,1.0
8,eur,4.64092474144774,,,,7.0,8.5,8.0,0.0,1.0,0.0,2.0
9,eur,2.9935047493541544,,,,8.0,4.0,6.5,1.0,2.0,1.0,1.0
10,eur,2.7077712192560783,,,,9.0,2.799999952316284,6.5,0.0,1.0,1.0,2.0
11,eur,3.543168376534404,,,,10.0,8.5,6.5,0.0,1.0,0.0,1.0
12,eur,3.1313881231295038,,,,11.0,2.799999952316284,6.5,2.0,1.0,0.0,0.0
13,eur,2.8313109613247986,,,,12.0,2.799999952316284,6.5,1.0,0.0,1.0,2.0
14,eur,1.1417742211502389,,,,13.0,2.799999952316284,6.5,1.0,1.0,0.0,2.0
15,eur,1.7718132689649648,,,,14.0,4.0,8.0,0.0,1.0,1.0,1.0
16,eur,2.517038602484451,,,,15.0,4.0,8.0,0.0,2.0,0.0,1.0
17,eur,4.170120085026211,,,,16.0,8.5,8.0,1.0,2.0,0.0,2.0
18,eur,4.541970446098361,,,,17.0,8.5,8.0,0.0,1.0,1.0,2.0
19,eur,3.500821461848667,,,,18.0,8.5,8.0,0.0,1.0,0.0,1.0
20,eur,4.622526250703676,,,,19.0,8.5,8.0,2.0,0.0,1.0,1.0
21,eur,5.078549552069597,,,,20.0,8.5,6.5,0.0,0.0,0.0,0.0
22,eur,4.526152343992799,,,,21.0,4.0,8.0,2.0,2.0,0.0,0.0
23,eur,5.131996767975627,,,,22.0,8.5,8.0,1.0,2.0,1.0,2.0
24,eur,4.652943991983071,,,,23.0,8.5,8.0,2.0,2.0,0.0,2.0
25,eur,4.710825352481535,,,,24.0,8.5,8.0,1.0,1.0,1.0,1.0
26,eur,4.015410444442521,,,,25.0,4.0,8.0,1.0,1.0,1.0,0.0
27,eur,5.173735046116677,,,,26.0,8.5,8.0,2.0,2.0,1.0,0.0
28,eur,2.429287459821053,,,,27.0,2.799999952316284,6.5,0.0,2.0,0.0,2.0
29,eur,2.0275081944574054,,,,28.0,2.799999952316284,6.5,0.0,0.0,1.0,0.0
30,eur,4.925395860342894,,,,29.0,8.5,8.0,1.0,1.0,0.0,0.0
31,eur,2.0866859085833647,,,,30.0,4.0,6.5,0.0,0.0,1.0,2.0
32,eur,6.406254252437807,,,,31.0,8.5,8.0,1.0,1.0,1.0,2.0
33,eur,2.379607122646676,,,,32.0,2.799999952316284,8.0,0.0,0.0,0.0,1.0
34,eur,3.2355626711306917,,,,33.0,2.799999952316284,8.0,2.0,2.0,1.0,2.0
35,eur,4.943359683051305,,,,34.0,4.0,8.0,2.0,1.0,1.0,2.0
36,eur,3.4099503895223124,,,,35.0,8.5,8.0,0.0,0.0,1.0,1.0
37,eur,5.010825015837378,,,,36.0,8.5,8.0,1.0,1.0,0.0,2.0
38,eur,1.5310540379911741,,,,37.0,2.799999952316284,8.0,1.0,0.0,0.0,2.0
39,eur,1.8772967423482088,,,,38.0,4.0,6.5,0.0,2.0,1.0,1.0
40,eur,3.3415831849978264,,,,39.0,2.799999952316284,6.5,2.0,1.0,0.0,2.0
41,eur,5.123619293120534,,,,40.0,8.5,6.5,1.0,2.0,1.0,2.0
42,eur,2.9319535765162774,,,,41.0,4.0,8.0,0.0,2.0,0.0,2.0
43,eur,5.570950923292905,,,,42.0,8.5,8.0,2.0,1.0,1.0,2.0
44,eur,5.578150255128097,,,,43.0,8.5,8.0,2.0,1.0,1.0,1.0
45,eur,2.511538115100797,,,,44.0,4.0,8.0,1.0,1.0,0.0,1.0
46,eur,2.445719959536074,,,,45.0,4.0,8.0,0.0,1.0,0.0,0.0
47,eur,3.3253081967268887,,,,46.0,4.0,8.0,1.0,0.0,1.0,1.0
48,eur,4.623984167236698,,,,47.0,4.0,6.5,2.0,2.0,1.0,1.0
49,eur,4.014586082967716,,,,48.0,8.5,6.5,0.0,1.0,0.0,2.0
50,eur,2.012459116431505,,,,49.0,2.799999952316284,8.0,1.0,2.0,1.0,2.0
51,eur,3.1995446564339924,,,,50.0,4.0,8.0,0.0,1.0,1.0,2.0
52,eur,4.063486744811286,,,,51.0,4.0,8.0,2.0,0.0,1.0,1.0
53,eur,3.138770112812546,,,,52.0,4.0,6.5,2.0,2.0,1.0,2.0
