x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture,pred_mean,pred_std
2.8,6.5,2,1,0,2,0.3300335,0.7428324
2.8,6.5,2,1,0,1,0.49677345,0.74967366
2.8,6.5,2,1,0,0,0.62315154,0.77281994
2.8,6.5,2,1,1,2,0.30505577,0.75410604
2.8,6.5,2,1,1,1,0.4503791,0.75139445
2.8,6.5,2,1,1,0,0.5533235,0.76544756
2.8,6.5,2,2,0,2,0.90805805,0.76874906
2.8,6.5,2,2,0,1,1.0600652,0.7619902
2.8,6.5,2,2,0,0,1.1124916,0.77749467
2.8,6.5,2,2,1,2,0.9337503,0.76947826
2.8,6.5,2,2,1,1,1.125,0.7630278
2.8,6.5,2,2,1,0,1.2156923,0.7805203
2.8,6.5,2,0,0,2,0.012394041,0.7662913
2.8,6.5,2,0,0,1,0.12133044,0.7546131
2.8,6.5,2,0,0,0,0.2044271,0.7577285
2.8,6.5,2,0,1,2,-0.2701276,0.75280786
2.8,6.5,2,0,1,1,-0.20635143,0.7356814
2.8,6.5,2,0,1,0,-0.14631495,0.7358451
2.8,6.5,1,1,0,2,0.14004615,0.7578847
2.8,6.5,1,1,0,1,0.31035313,0.75171494
2.8,6.5,1,1,0,0,0.43563417,0.76046455
2.8,6.5,1,1,1,2,-0.1354293,0.76360774
2.8,6.5,1,1,1,1,0.0237073,0.7584988
2.8,6.5,1,1,1,0,0.15737483,0.76904637
2.8,6.5,1,2,0,2,0.5612788,0.76307833
2.8,6.5,1,2,0,1,0.71625924,0.7548689
2.8,6.5,1,2,0,0,0.80569386,0.76655114
2.8,6.5,1,2,1,2,0.55672956,0.7546966
2.8,6.5,1,2,1,1,0.75395346,0.7418732
2.8,6.5,1,2,1,0,0.88199735,0.75516593
2.8,6.5,1,0,0,2,-0.41543233,0.7728041
2.8,6.5,1,0,0,1,-0.30813372,0.7667817
2.8,6.5,1,0,0,0,-0.19807443,0.7775173
2.8,6.5,1,0,1,2,-0.9924263,0.7504811
2.8,6.5,1,0,1,1,-0.92345226,0.74361384
2.8,6.5,1,0,1,0,-0.8047036,0.75608546
2.8,6.5,0,1,0,2,-0.26959625,0.78170294
2.8,6.5,0,1,0,1,-0.14781353,0.77235174
2.8,6.5,0,1,0,0,-0.0366154,0.7788321
2.8,6.5,0,1,1,2,-0.64827514,0.7726645
2.8,6.5,0,1,1,1,-0.5524968,0.7629713
2.8,6.5,0,1,1,0,-0.44199374,0.77280766
2.8,6.5,0,2,0,2,0.23921493,0.7664972
2.8,6.5,0,2,0,1,0.34501365,0.7613181
2.8,6.5,0,2,0,0,0.41411528,0.78000337
2.8,6.5,0,2,1,2,0.16437325,0.7905996
2.8,6.5,0,2,1,1,0.29512987,0.7765624
2.8,6.5,0,2,1,0,0.3880339,0.783156
2.8,6.5,0,0,0,2,-0.9617412,0.7872006
2.8,6.5,0,0,0,1,-0.89344966,0.77860296
2.8,6.5,0,0,0,0,-0.76581323,0.7931419
2.8,6.5,0,0,1,2,-1.7590224,0.78245103
2.8,6.5,0,0,1,1,-1.7559319,0.7691705
2.8,6.5,0,0,1,0,-1.5867485,0.7795667
2.8,8.0,2,1,0,2,0.17796132,0.7578454
2.8,8.0,2,1,0,1,0.34681,0.75974184
2.8,8.0,2,1,0,0,0.48598018,0.7774548
2.8,8.0,2,1,1,2,0.12241271,0.75565565
2.8,8.0,2,1,1,1,0.28970447,0.74944633
2.8,8.0,2,1,1,0,0.4295958,0.7628902
