trial,phase,x,y
1,warmup,"[8.5, 6.5, 0.0, 1.0, 0.0, 2.0]",4.0324698978186495
2,warmup,"[2.799999952316284, 6.5, 1.0, 2.0, 1.0, 0.0]",2.083536473793073
3,warmup,"[8.5, 8.0, 1.0, 1.0, 1.0, 1.0]",4.4487201743375335
4,main,"[2.799999952316284, 8.0, 1.0, 0.0, 0.0, 0.0]",3.2127329751290645
5,main,"[8.5, 8.0, 2.0, 0.0, 0.0, 0.0]",3.1697019014630317
6,main,"[4.0, 6.5, 2.0, 1.0, 0.0, 1.0]",1.4697145431491312
7,main,"[2.799999952316284, 6.5, 0.0, 0.0, 0.0, 2.0]",3.0559938536355764
8,main,"[8.5, 6.5, 2.0, 1.0, 0.0, 0.0]",3.74092474144774
9,main,"[8.5, 6.5, 0.0, 1.0, 1.0, 1.0]",3.6885047228300865
10,main,"[8.5, 8.0, 2.0, 2.0, 1.0, 1.0]",4.067771233561194
11,main,"[2.799999952316284, 8.0, 1.0, 0.0, 1.0, 1.0]",1.7831683622292893
12,main,"[8.5, 6.5, 1.0, 2.0, 1.0, 2.0]",3.241388089750903
13,main,"[8.5, 6.5, 1.0, 0.0, 1.0, 0.0]",3.8863109491058463
14,main,"[8.5, 8.0, 0.0, 2.0, 1.0, 2.0]",2.8267742116134964
15,main,"[8.5, 6.5, 0.0, 0.0, 0.0, 1.0]",2.371813268964965
16,main,"[8.5, 8.0, 0.0, 0.0, 0.0, 2.0]",3.4170386024844515
17,main,"[2.799999952316284, 8.0, 1.0, 1.0, 0.0, 0.0]",1.360120023037379
18,main,"[2.799999952316284, 8.0, 1.0, 1.0, 1.0, 2.0]",2.331970431793246
19,main,"[2.799999952316284, 8.0, 1.0, 2.0, 0.0, 0.0]",1.540821447543553
20,main,"[4.0, 8.0, 2.0, 2.0, 0.0, 1.0]",0.9625261499718254
21,main,"[2.799999952316284, 6.5, 2.0, 1.0, 1.0, 1.0]",2.6685495377644823
22,main,"[4.0, 6.5, 2.0, 2.0, 0.0, 2.0]",1.4261522486253675
23,main,"[4.0, 8.0, 0.0, 0.0, 1.0, 2.0]",2.8019967176097014
24,main,"[2.799999952316284, 6.5, 2.0, 0.0, 1.0, 0.0]",0.49294388231052344
25,main,"[2.799999952316284, 6.5, 1.0, 0.0, 1.0, 0.0]",1.5708252878104947
26,main,"[4.0, 8.0, 1.0, 2.0, 1.0, 1.0]",2.785410394076597
27,main,"[2.799999952316284, 8.0, 2.0, 2.0, 1.0, 0.0]",1.2037349310797119
28,main,"[4.0, 8.0, 1.0, 0.0, 1.0, 1.0]",2.7892874741261675
29,main,"[4.0, 8.0, 2.0, 1.0, 0.0, 2.0]",1.3375082087625199
30,main,"[2.799999952316284, 8.0, 1.0, 0.0, 0.0, 2.0]",1.515395798354062
31,main,"[4.0, 8.0, 1.0, 0.0, 0.0, 2.0]",1.6366859085833645
32,main,"[4.0, 8.0, 1.0, 2.0, 0.0, 1.0]",3.876254202071882
33,main,"[8.5, 8.0, 0.0, 1.0, 0.0, 1.0]",4.08960713695179
34,main,"[4.0, 8.0, 2.0, 1.0, 1.0, 0.0]",1.5355625847039565
35,main,"[8.5, 6.5, 2.0, 1.0, 1.0, 0.0]",4.033359582319456
36,main,"[2.799999952316284, 8.0, 2.0, 2.0, 0.0, 0.0]",0.8999503752171979
37,main,"[4.0, 6.5, 0.0, 0.0, 1.0, 2.0]",2.6108249681536617
38,main,"[8.5, 8.0, 2.0, 1.0, 1.0, 1.0]",2.0410540046125734
39,main,"[4.0, 6.5, 1.0, 2.0, 0.0, 1.0]",1.1272967423482088
40,main,"[8.5, 6.5, 2.0, 2.0, 1.0, 2.0]",3.3515831516192254
41,main,"[2.799999952316284, 8.0, 2.0, 1.0, 1.0, 2.0]",2.258619252291351
42,main,"[8.5, 6.5, 0.0, 0.0, 1.0, 2.0]",3.931953576516277
43,main,"[4.0, 8.0, 2.0, 0.0, 0.0, 0.0]",1.9109508225610545
44,main,"[2.799999952316284, 6.5, 0.0, 1.0, 0.0, 1.0]",1.858150140091133
45,main,"[2.799999952316284, 8.0, 2.0, 2.0, 0.0, 2.0]",0.4015380531119659
46,main,"[2.799999952316284, 6.5, 0.0, 0.0, 0.0, 0.0]",1.5857199452309596
47,main,"[4.0, 6.5, 1.0, 1.0, 1.0, 0.0]",2.095308146360964
48,main,"[4.0, 8.0, 1.0, 1.0, 0.0, 1.0]",3.1639841141885654
49,main,"[8.5, 6.5, 1.0, 1.0, 1.0, 0.0]",4.064586082967716
50,main,"[2.799999952316284, 6.5, 1.0, 2.0, 0.0, 0.0]",0.5824590660655802
51,main,"[4.0, 8.0, 2.0, 2.0, 0.0, 0.0]",2.449544656433992
52,main,"[2.799999952316284, 8.0, 0.0, 0.0, 1.0, 0.0]",2.3934866297743214
53,main,"[4.0, 8.0, 1.0, 2.0, 1.0, 0.0]",2.3287700597644116
