x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
4.0,8.0,Rotated,Color,Open,Rotated
4.0,6.5,Rotated,Translucent,Open,Rotated
8.5,8.0,Rotated,Translucent,Open,Chaos
8.5,8.0,Chaos,Color,Open,Chaos
2.8,8.0,Strict,Color,Closed,Chaos
8.5,8.0,Chaos,Solid,Closed,Strict
2.8,6.5,Rotated,Color,Open,Strict
8.5,8.0,Chaos,Color,Closed,Strict
8.5,8.0,Rotated,Translucent,Open,Strict
2.8,6.5,Rotated,Translucent,Open,Rotated
8.5,8.0,Chaos,Solid,Open,Rotated
4.0,8.0,Rotated,Solid,Closed,Chaos
2.8,6.5,Strict,Color,Open,Chaos
8.5,6.5,Chaos,Translucent,Closed,Chaos
8.5,6.5,Rotated,Translucent,Open,Rotated
2.8,8.0,Rotated,Color,Closed,Rotated
2.8,8.0,Rotated,Solid,Closed,Rotated
4.0,6.5,Chaos,Translucent,Open,Strict
4.0,8.0,Chaos,Solid,Open,Strict
2.8,6.5,Strict,Solid,Closed,Strict
8.5,6.5,Chaos,Color,Open,Strict
4.0,6.5,Strict,Translucent,Closed,Strict
4.0,6.5,Strict,Solid,Open,Chaos
8.5,6.5,Chaos,Solid,Open,Strict
8.5,8.0,Rotated,Translucent,Closed,Chaos
