Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
306,8.5,8.0,Rotated,Color,Open,Chaos
22,2.8,6.5,Rotated,Solid,Open,Strict
61,2.8,8.0,Strict,Translucent,Closed,Strict
2,2.8,6.5,Strict,Solid,Closed,Rotated
229,8.5,6.5,Strict,Color,Closed,Strict
253,8.5,6.5,Chaos,Solid,Closed,Strict
271,8.5,8.0,Strict,Solid,Closed,Strict
255,8.5,6.5,Chaos,Solid,Closed,Chaos
73,2.8,8.0,Rotated,Solid,Closed,Strict
294,8.5,8.0,Rotated,Solid,Open,Chaos
54,2.8,6.5,Chaos,Color,Open,Chaos
219,8.5,6.5,Strict,Solid,Closed,Chaos
204,4.0,8.0,Chaos,Solid,Open,Chaos
206,4.0,8.0,Chaos,Translucent,Closed,Rotated
169,4.0,8.0,Strict,Translucent,Closed,Strict
242,8.5,6.5,Rotated,Translucent,Closed,Rotated
111,4.0,6.5,Strict,Solid,Closed,Chaos
112,4.0,6.5,Strict,Solid,Open,Strict
65,2.8,8.0,Strict,Translucent,Open,Rotated
287,8.5,8.0,Strict,Color,Open,Rotated
151,4.0,6.5,Chaos,Translucent,Closed,Strict
308,8.5,8.0,Chaos,Solid,Closed,Rotated
266,8.5,6.5,Chaos,Color,Closed,Rotated
250,8.5,6.5,Rotated,Color,Open,Strict
123,4.0,6.5,Strict,Color,Closed,Chaos
119,4.0,6.5,Strict,Translucent,Open,Rotated
182,4.0,8.0,Rotated,Solid,Closed,Rotated
208,4.0,8.0,Chaos,Translucent,Open,Strict
14,2.8,6.5,Strict,Color,Closed,Rotated
13,2.8,6.5,Strict,Color,Closed,Strict
64,2.8,8.0,Strict,Translucent,Open,Strict
177,4.0,8.0,Strict,Color,Closed,Chaos
176,4.0,8.0,Strict,Color,Closed,Rotated
99,2.8,8.0,Chaos,Translucent,Closed,Chaos
83,2.8,8.0,Rotated,Translucent,Open,Rotated
274,8.5,8.0,Strict,Solid,Open,Strict
227,8.5,6.5,Strict,Translucent,Open,Rotated
161,4.0,6.5,Chaos,Color,Open,Rotated
299,8.5,8.0,Rotated,Translucent,Open,Rotated
59,2.8,8.0,Strict,Solid,Open,Rotated
252,8.5,6.5,Rotated,Color,Open,Chaos
39,2.8,6.5,Chaos,Solid,Closed,Chaos
284,8.5,8.0,Strict,Color,Closed,Rotated
276,8.5,8.0,Strict,Solid,Open,Chaos
19,2.8,6.5,Rotated,Solid,Closed,Strict
256,8.5,6.5,Chaos,Solid,Open,Strict
236,8.5,6.5,Rotated,Solid,Closed,Rotated
179,4.0,8.0,Strict,Color,Open,Rotated
249,8.5,6.5,Rotated,Color,Closed,Chaos
70,2.8,8.0,Strict,Color,Open,Strict
24,2.8,6.5,Rotated,Solid,Open,Chaos
324,8.5,8.0,Chaos,Color,Open,Chaos
142,4.0,6.5,Rotated,Color,Open,Strict
129,4.0,6.5,Rotated,Solid,Closed,Chaos
203,4.0,8.0,Chaos,Solid,Open,Rotated
149,4.0,6.5,Chaos,Solid,Open,Rotated
1,2.8,6.5,Strict,Solid,Closed,Strict
117,4.0,6.5,Strict,Translucent,Closed,Chaos
281,8.5,8.0,Strict,Translucent,Open,Rotated
166,4.0,8.0,Strict,Solid,Open,Strict
137,4.0,6.5,Rotated,Translucent,Open,Rotated
28,2.8,6.5,Rotated,Translucent,Open,Strict
69,2.8,8.0,Strict,Color,Closed,Chaos
141,4.0,6.5,Rotated,Color,Closed,Chaos
42,2.8,6.5,Chaos,Solid,Open,Chaos
5,2.8,6.5,Strict,Solid,Open,Rotated
218,8.5,6.5,Strict,Solid,Closed,Rotated
290,8.5,8.0,Rotated,Solid,Closed,Rotated
280,8.5,8.0,Strict,Translucent,Open,Strict
50,2.8,6.5,Chaos,Color,Closed,Rotated
114,4.0,6.5,Strict,Solid,Open,Chaos
