iteration,phase,y_value,lambda_t,gamma_t,r_t,n_train,x0,x1,x2,x3,x4,x5
2,warmup,3.182469898,,,,,4,6.5,0,1,1,1
3,warmup,1.983536474,,,,,2.799999952,6.5,0,0,0,1
4,eur,4.598720261,,,,3,2.799999952,8,2,1,1,1
4,eur,6.022733037,,,,3,8.5,8,1,1,0,2
5,eur,4.569701949,,,,4,8.5,8,1,0,0,2
6,eur,3.409714577,,,,5,2.799999952,6.5,2,2,0,0
7,eur,7.125993969,,,,6,8.5,8,2,2,1,1
8,eur,2.780924727,,,,7,2.799999952,6.5,0,0,1,2
9,eur,2.988504762,,,,8,2.799999952,6.5,2,1,1,1
10,eur,3.442771257,,,,9,4,6.5,1,0,0,1
11,eur,4.0181684,,,,10,8.5,6.5,1,0,0,1
12,eur,2.746388116,,,,11,4,6.5,1,1,1,2
13,eur,4.116310999,,,,12,4,8,1,1,1,0
14,eur,1.176774212,,,,13,4,6.5,0,2,0,1
15,eur,3.481813322,,,,14,8.5,6.5,2,0,1,2
16,eur,2.767038602,,,,15,4,8,0,2,1,1
17,eur,4.270120085,,,,16,8.5,6.5,2,1,0,1
18,eur,4.651970547,,,,17,4,8,2,2,1,2
19,eur,3.300821462,,,,18,8.5,6.5,0,1,1,2
20,eur,2.952526231,,,,19,2.799999952,8,2,2,0,2
21,eur,3.468549538,,,,20,2.799999952,8,0,1,0,2
22,eur,2.916152282,,,,21,2.799999952,6.5,2,0,0,2
23,eur,2.691996703,,,,22,2.799999952,8,0,0,1,1
24,eur,2.56294395,,,,23,4,6.5,2,2,1,2
25,eur,4.130825302,,,,24,8.5,8,0,2,1,1
26,eur,4.035410394,,,,25,8.5,8,0,0,0,2
27,eur,2.963735032,,,,26,2.799999952,8,2,0,1,2
28,eur,3.12928746,,,,27,2.799999952,8,0,2,1,1
29,eur,2.927508242,,,,28,2.799999952,6.5,2,0,0,0
30,eur,4.075395813,,,,29,8.5,8,0,1,1,2
31,eur,3.77668599,,,,30,2.799999952,8,2,1,0,0
32,eur,5.17625425,,,,31,4,8,1,2,0,1
33,eur,5.29960719,,,,32,8.5,6.5,2,2,1,0
34,eur,4.235562632,,,,33,8.5,8,1,0,0,0
35,eur,5.713359633,,,,34,8.5,8,1,2,1,2
36,eur,2.329950426,,,,35,2.799999952,8,1,1,1,2
37,eur,4.190825019,,,,36,4,8,1,2,1,0
38,eur,3.201054105,,,,37,4,8,2,2,1,0
39,eur,3.027296742,,,,38,8.5,6.5,0,1,0,0
40,eur,3.701583199,,,,39,4,8,1,0,0,1
41,eur,3.773619293,,,,40,4,6.5,1,2,1,2
42,eur,6.191953677,,,,41,8.5,8,2,2,1,0
43,eur,5.01095087,,,,42,8.5,8,1,2,0,1
44,eur,3.608150235,,,,43,2.799999952,8,2,0,0,2
45,eur,3.261538067,,,,44,8.5,6.5,0,2,1,0
46,eur,3.045719998,,,,45,2.799999952,6.5,2,2,1,0
47,eur,5.305308247,,,,46,8.5,8,2,1,1,2
48,eur,5.013984114,,,,47,8.5,8,0,0,1,2
49,eur,5.064586131,,,,48,8.5,6.5,2,0,0,2
50,eur,2.162459116,,,,49,2.799999952,8,1,2,1,1
51,eur,3.569544692,,,,50,2.799999952,8,1,0,1,1
52,eur,3.703486731,,,,51,2.799999952,8,2,0,1,1
53,eur,2.768770093,,,,52,2.799999952,6.5,2,2,0,2
