x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary
1,5,1.0,low,A,False
1,4,0.75,max,C,False
0,2,0.0,max,C,True
1,3,0.25,high,A,False
0,1,0.0,low,A,False
0,5,0.0,max,A,True
1,1,1.0,low,C,False
0,2,0.75,max,B,False
1,5,0.5,max,C,False
1,2,0.25,high,A,False
0,4,1.0,mid,C,False
0,3,0.5,high,B,True
1,5,0.0,mid,C,True
1,5,1.0,max,C,True
1,3,0.75,high,B,True
1,2,0.75,low,B,False
0,5,0.0,mid,B,True
1,4,0.5,max,C,False
0,3,0.5,low,C,True
0,2,0.25,high,C,True
0,1,0.75,high,B,False
0,1,0.5,low,B,True
0,3,0.25,max,C,True
0,1,0.0,max,C,True
1,3,0.5,high,B,True
