Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
173,4.0,8.0,Strict,Translucent,Open,Rotated
90,2.8,8.0,Rotated,Color,Open,Chaos
121,4.0,6.5,Strict,Color,Closed,Strict
1,2.8,6.5,Strict,Solid,Closed,Strict
80,2.8,8.0,Rotated,Translucent,Closed,Rotated
235,8.5,6.5,Rotated,Solid,Closed,Strict
279,8.5,8.0,Strict,Translucent,Closed,Chaos
57,2.8,8.0,Strict,Solid,Closed,Chaos
314,8.5,8.0,Chaos,Translucent,Closed,Rotated
243,8.5,6.5,Rotated,Translucent,Closed,Chaos
103,2.8,8.0,Chaos,Color,Closed,Strict
304,8.5,8.0,Rotated,Color,Open,Strict
264,8.5,6.5,Chaos,Translucent,Open,Chaos
285,8.5,8.0,Strict,Color,Closed,Chaos
271,8.5,8.0,Strict,Solid,Closed,Strict
270,8.5,6.5,Chaos,Color,Open,Chaos
54,2.8,6.5,Chaos,Color,Open,Chaos
193,4.0,8.0,Rotated,Color,Closed,Strict
11,2.8,6.5,Strict,Translucent,Open,Rotated
256,8.5,6.5,Chaos,Solid,Open,Strict
144,4.0,6.5,Rotated,Color,Open,Chaos
116,4.0,6.5,Strict,Translucent,Closed,Rotated
134,4.0,6.5,Rotated,Translucent,Closed,Rotated
311,8.5,8.0,Chaos,Solid,Open,Rotated
23,2.8,6.5,Rotated,Solid,Open,Rotated
155,4.0,6.5,Chaos,Translucent,Open,Rotated
33,2.8,6.5,Rotated,Color,Closed,Chaos
137,4.0,6.5,Rotated,Translucent,Open,Rotated
58,2.8,8.0,Strict,Solid,Open,Strict
108,2.8,8.0,Chaos,Color,Open,Chaos
16,2.8,6.5,Strict,Color,Open,Strict
197,4.0,8.0,Rotated,Color,Open,Rotated
254,8.5,6.5,Chaos,Solid,Closed,Rotated
145,4.0,6.5,Chaos,Solid,Closed,Strict
293,8.5,8.0,Rotated,Solid,Open,Rotated
159,4.0,6.5,Chaos,Color,Closed,Chaos
277,8.5,8.0,Strict,Translucent,Closed,Strict
35,2.8,6.5,Rotated,Color,Open,Rotated
269,8.5,6.5,Chaos,Color,Open,Rotated
171,4.0,8.0,Strict,Translucent,Closed,Chaos
211,4.0,8.0,Chaos,Color,Closed,Strict
302,8.5,8.0,Rotated,Color,Closed,Rotated
262,8.5,6.5,Chaos,Translucent,Open,Strict
201,4.0,8.0,Chaos,Solid,Closed,Chaos
244,8.5,6.5,Rotated,Translucent,Open,Strict
63,2.8,8.0,Strict,Translucent,Closed,Chaos
305,8.5,8.0,Rotated,Color,Open,Rotated
303,8.5,8.0,Rotated,Color,Closed,Chaos
223,8.5,6.5,Strict,Translucent,Closed,Strict
15,2.8,6.5,Strict,Color,Closed,Chaos
181,4.0,8.0,Rotated,Solid,Closed,Strict
194,4.0,8.0,Rotated,Color,Closed,Rotated
324,8.5,8.0,Chaos,Color,Open,Chaos
3,2.8,6.5,Strict,Solid,Closed,Chaos
104,2.8,8.0,Chaos,Color,Closed,Rotated
94,2.8,8.0,Chaos,Solid,Open,Strict
40,2.8,6.5,Chaos,Solid,Open,Strict
246,8.5,6.5,Rotated,Translucent,Open,Chaos
135,4.0,6.5,Rotated,Translucent,Closed,Chaos
83,2.8,8.0,Rotated,Translucent,Open,Rotated
30,2.8,6.5,Rotated,Translucent,Open,Chaos
158,4.0,6.5,Chaos,Color,Closed,Rotated
130,4.0,6.5,Rotated,Solid,Open,Strict
27,2.8,6.5,Rotated,Translucent,Closed,Chaos
56,2.8,8.0,Strict,Solid,Closed,Rotated
322,8.5,8.0,Chaos,Color,Open,Strict
177,4.0,8.0,Strict,Color,Closed,Chaos
310,8.5,8.0,Chaos,Solid,Open,Strict
191,4.0,8.0,Rotated,Translucent,Open,Rotated
48,2.8,6.5,Chaos,Translucent,Open,Chaos
213,4.0,8.0,Chaos,Color,Closed,Chaos
