x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture,pred_mean,pred_std
2.8,6.5,2,1,0,2,0.21966994,0.7275432
2.8,6.5,2,1,0,1,0.4073702,0.72898793
2.8,6.5,2,1,0,0,0.5550041,0.7417946
2.8,6.5,2,1,1,2,0.21214056,0.730238
2.8,6.5,2,1,1,1,0.39941716,0.7289436
2.8,6.5,2,1,1,0,0.5460068,0.7395563
2.8,6.5,2,2,0,2,0.68074787,0.74347067
2.8,6.5,2,2,0,1,0.8778155,0.73909426
2.8,6.5,2,2,0,0,0.9900001,0.7521262
2.8,6.5,2,2,1,2,0.70323044,0.7436046
2.8,6.5,2,2,1,1,0.91285646,0.73843044
2.8,6.5,2,2,1,0,1.0337901,0.75160366
2.8,6.5,2,0,0,2,-0.11711753,0.7394133
2.8,6.5,2,0,0,1,-0.0024917775,0.730316
2.8,6.5,2,0,0,0,0.101038806,0.7327409
2.8,6.5,2,0,1,2,-0.17269617,0.73489434
2.8,6.5,2,0,1,1,-0.06695784,0.7235819
2.8,6.5,2,0,1,0,0.032815035,0.72502065
2.8,6.5,1,1,0,2,-0.02882064,0.7333597
2.8,6.5,1,1,0,1,0.15254611,0.7299174
2.8,6.5,1,1,0,0,0.30585277,0.7371498
2.8,6.5,1,1,1,2,-0.08671016,0.7339055
2.8,6.5,1,1,1,1,0.095480554,0.72973365
2.8,6.5,1,1,1,0,0.2531072,0.7369398
2.8,6.5,1,2,0,2,0.36884737,0.73668224
2.8,6.5,1,2,0,1,0.5566823,0.72998506
2.8,6.5,1,2,0,0,0.6939745,0.73994297
2.8,6.5,1,2,1,2,0.3585621,0.7355075
2.8,6.5,1,2,1,1,0.55984366,0.7270808
2.8,6.5,1,2,1,0,0.7099832,0.737123
2.8,6.5,1,0,0,2,-0.33862376,0.7400044
2.8,6.5,1,0,0,1,-0.23049802,0.73428434
2.8,6.5,1,0,0,0,-0.12535775,0.74155354
2.8,6.5,1,0,1,2,-0.4294442,0.7339903
2.8,6.5,1,0,1,1,-0.33076632,0.72742397
2.8,6.5,1,0,1,0,-0.22771502,0.7349571
2.8,6.5,0,1,0,2,-0.22243878,0.7481728
2.8,6.5,0,1,0,1,-0.0835628,0.7411422
2.8,6.5,0,1,0,0,0.043997582,0.74792296
2.8,6.5,0,1,1,2,-0.30846342,0.7469318
2.8,6.5,0,1,1,1,-0.17266321,0.73924726
2.8,6.5,0,1,1,0,-0.042119388,0.7462945
2.8,6.5,0,2,0,2,0.11679777,0.74727273
2.8,6.5,0,2,0,1,0.2620049,0.7407239
2.8,6.5,0,2,0,0,0.37943444,0.7522752
2.8,6.5,0,2,1,2,0.07056927,0.75181836
2.8,6.5,0,2,1,1,0.223284,0.74312377
2.8,6.5,0,2,1,0,0.35153043,0.7522154
2.8,6.5,0,0,0,2,-0.48037314,0.75676644
2.8,6.5,0,0,0,1,-0.39921468,0.74899924
2.8,6.5,0,0,0,0,-0.30926967,0.7589759
2.8,6.5,0,0,1,2,-0.5723592,0.7536997
2.8,6.5,0,0,1,1,-0.49917334,0.74482274
2.8,6.5,0,0,1,0,-0.41338396,0.7542895
2.8,8.0,2,1,0,2,0.10554158,0.7345618
2.8,8.0,2,1,0,1,0.294752,0.7326217
2.8,8.0,2,1,0,0,0.45080483,0.7428454
2.8,8.0,2,1,1,2,0.090818755,0.734518
2.8,8.0,2,1,1,1,0.28564596,0.7308696
2.8,8.0,2,1,1,0,0.44688094,0.74059975
2.8,8.0,2,2,0,2,0.45889938,0.75055707
2.8,8.0,2,2,0,1,0.63964105,0.7453504
2.8,8.0,2,2,0,0,0.76179814,0.75706136
2.8,8.0,2,2,1,2,0.48093784,0.7513069
2.8,8.0,2,2,1,1,0.676398,0.7456121
2.8,8.0,2,2,1,0,0.80741596,0.7576155
2.8,8.0,2,0,0,2,-0.09494985,0.73787785
2.8,8.0,2,0,0,1,0.032381352,0.7276128
2.8,8.0,2,0,0,0,0.13627905,0.72897065
2.8,8.0,2,0,1,2,-0.1441943,0.7354353
2.8,8.0,2,0,1,1,-0.017387813,0.7260383
2.8,8.0,2,0,1,0,0.088662855,0.728768
2.8,8.0,1,1,0,2,-0.14352953,0.7303308
2.8,8.0,1,1,0,1,0.043561812,0.72788954
2.8,8.0,1,1,0,0,0.20432615,0.7369144
2.8,8.0,1,1,1,2,-0.21464306,0.7309731
2.8,8.0,1,1,1,1,-0.021270996,0.7286175
2.8,8.0,1,1,1,0,0.1498639,0.73833364
2.8,8.0,1,2,0,2,0.149548,0.73491186
2.8,8.0,1,2,0,1,0.32301807,0.7299677
2.8,8.0,1,2,0,0,0.46599168,0.74062514
2.8,8.0,1,2,1,2,0.13469493,0.73788667
