x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y
0,1,0.0,max,C,True,0.5093504421060424
0,2,0.0,high,C,True,-0.05983223975710647
1,5,1.0,low,A,False,-3.553494227539885
1,3,0.25,high,B,False,-2.38649685172246
0,5,0.75,max,B,False,-2.7306391687911455
0,5,1.0,mid,C,False,-1.5259801858307493
0,4,0.75,mid,C,False,-0.34957912779064243
1,5,0.5,low,B,False,-2.5541969613326003
0,1,0.5,low,B,False,0.7984189784369138
1,5,1.0,max,C,True,-2.7030726520157207
1,2,0.5,max,B,False,-0.9935822458189087
0,4,0.0,high,B,True,-2.6388155525855255
1,1,1.0,low,C,False,1.027343719795564
1,4,0.75,high,B,False,-2.769654205026246
1,3,0.5,high,B,True,-2.1420186948884687
0,1,1.0,low,B,True,-0.09395490301375198
1,5,0.5,high,C,False,-2.0099226912805066
0,3,0.5,high,B,True,-1.8411266353097895
1,1,0.75,max,B,False,-0.9981198595943639
0,3,0.0,low,B,True,-1.5080446852380625
1,2,1.0,mid,A,True,-2.6385347492105335
0,3,0.0,max,C,True,-1.2705564004181615
1,2,0.5,mid,A,False,-1.9640839738603983
0,1,0.0,low,A,False,-0.37719584661245603
0,5,0.0,max,A,True,-4.390541990274722
