x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y
1,5,1.0,low,A,False,0.1925740933487247
1,4,0.75,max,C,False,1.2255667076311325
0,2,0.0,max,C,True,2.406019514203035
1,3,0.25,high,A,False,0.9244510517011867
0,1,0.0,low,A,False,-0.21248195146145565
0,5,0.0,max,A,True,3.0880072335756483
1,1,1.0,low,C,False,-0.6086747528039966
0,2,0.75,max,B,False,2.0019714127912756
1,5,0.5,max,C,False,1.5572992457574082
1,2,0.25,high,A,False,1.08997597461981
0,4,1.0,mid,C,False,1.4423199800237776
0,3,0.5,high,B,True,2.1321523230625843
1,5,0.0,mid,C,True,1.0336845562088888
1,5,1.0,max,C,True,2.673992770978808
1,3,0.75,high,B,True,1.825246070855878
1,2,0.75,low,B,False,-0.25469929831930727
0,5,0.0,mid,B,True,1.7543619678707718
1,4,0.5,max,C,False,1.05616198380827
0,3,0.5,low,C,True,0.8720695330529513
0,2,0.25,high,C,True,1.9687661849825988
0,1,0.75,high,B,False,1.5044099575798724
0,1,0.5,low,B,True,0.9721500308603312
0,3,0.25,max,C,True,2.692908129028854
0,1,0.0,max,C,True,1.8475502240614072
1,3,0.5,high,B,True,1.5857623366412914
