x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y
0,1,0.5,mid,C,False,0.2005638159934395
0,3,0.5,high,B,True,0.5125119100188584
1,3,1.0,max,A,True,-1.1065868062339876
1,5,1.0,max,C,True,0.7010852598809432
0,5,0.0,max,A,True,1.5938299940190837
1,5,1.0,low,A,False,3.1843006420191986
1,5,0.0,low,C,False,2.5102611806697888
0,5,0.0,low,A,False,4.16378538287698
1,3,0.75,mid,C,True,-0.19752059203580086
0,5,1.0,low,A,True,3.4747208240126475
0,2,0.5,max,C,False,-0.12189990475666013
0,1,0.5,max,C,False,-0.7420449747444924
0,1,0.0,max,C,True,-1.436289464090955
1,4,0.75,low,C,True,1.9308822381553983
1,3,0.5,high,B,True,0.15871083951471215
0,3,0.0,low,C,True,1.635942744627413
0,4,0.0,mid,B,True,2.15614402763968
0,2,0.5,max,B,False,0.10436848395463928
0,1,0.0,max,A,True,-1.283886867906978
0,1,0.0,low,A,False,0.8148579876376009
1,3,0.25,mid,A,False,1.2843533161751357
1,3,0.0,mid,B,False,1.2727174810211668
0,1,0.75,high,A,False,0.010565387354009432
1,1,1.0,low,C,False,-0.06025434269972145
1,2,0.75,max,C,False,-0.9558143556462179
