Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
282,8.5,8.0,Strict,Translucent,Open,Chaos
9,2.8,6.5,Strict,Translucent,Closed,Chaos
146,4.0,6.5,Chaos,Solid,Closed,Rotated
274,8.5,8.0,Strict,Solid,Open,Strict
26,2.8,6.5,Rotated,Translucent,Closed,Rotated
14,2.8,6.5,Strict,Color,Closed,Rotated
119,4.0,6.5,Strict,Translucent,Open,Rotated
250,8.5,6.5,Rotated,Color,Open,Strict
137,4.0,6.5,Rotated,Translucent,Open,Rotated
259,8.5,6.5,Chaos,Translucent,Closed,Strict
28,2.8,6.5,Rotated,Translucent,Open,Strict
83,2.8,8.0,Rotated,Translucent,Open,Rotated
49,2.8,6.5,Chaos,Color,Closed,Strict
54,2.8,6.5,Chaos,Color,Open,Chaos
88,2.8,8.0,Rotated,Color,Open,Strict
271,8.5,8.0,Strict,Solid,Closed,Strict
270,8.5,6.5,Chaos,Color,Open,Chaos
324,8.5,8.0,Chaos,Color,Open,Chaos
149,4.0,6.5,Chaos,Solid,Open,Rotated
256,8.5,6.5,Chaos,Solid,Open,Strict
12,2.8,6.5,Strict,Translucent,Open,Chaos
123,4.0,6.5,Strict,Color,Closed,Chaos
1,2.8,6.5,Strict,Solid,Closed,Strict
177,4.0,8.0,Strict,Color,Closed,Chaos
150,4.0,6.5,Chaos,Solid,Open,Chaos
