Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
15,2.8,6.5,Strict,Color,Closed,Chaos
137,4.0,6.5,Rotated,Translucent,Open,Rotated
160,4.0,6.5,Chaos,Color,Open,Strict
324,8.5,8.0,Chaos,Color,Open,Chaos
256,8.5,6.5,Chaos,Solid,Open,Strict
271,8.5,8.0,Strict,Solid,Closed,Strict
185,4.0,8.0,Rotated,Solid,Open,Rotated
11,2.8,6.5,Strict,Translucent,Open,Rotated
323,8.5,8.0,Chaos,Color,Open,Rotated
116,4.0,6.5,Strict,Translucent,Closed,Rotated
264,8.5,6.5,Chaos,Translucent,Open,Chaos
219,8.5,6.5,Strict,Solid,Closed,Chaos
54,2.8,6.5,Chaos,Color,Open,Chaos
263,8.5,6.5,Chaos,Translucent,Open,Rotated
83,2.8,8.0,Rotated,Translucent,Open,Rotated
3,2.8,6.5,Strict,Solid,Closed,Chaos
6,2.8,6.5,Strict,Solid,Open,Chaos
100,2.8,8.0,Chaos,Translucent,Open,Strict
19,2.8,6.5,Rotated,Solid,Closed,Strict
1,2.8,6.5,Strict,Solid,Closed,Strict
10,2.8,6.5,Strict,Translucent,Open,Strict
133,4.0,6.5,Rotated,Translucent,Closed,Strict
159,4.0,6.5,Chaos,Color,Closed,Chaos
177,4.0,8.0,Strict,Color,Closed,Chaos
167,4.0,8.0,Strict,Solid,Open,Rotated
