Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
177,4.0,8.0,Strict,Color,Closed,Chaos
324,8.5,8.0,Chaos,Color,Open,Chaos
2,2.8,6.5,Strict,Solid,Closed,Rotated
22,2.8,6.5,Rotated,Solid,Open,Strict
256,8.5,6.5,Chaos,Solid,Open,Strict
121,4.0,6.5,Strict,Color,Closed,Strict
203,4.0,8.0,Chaos,Solid,Open,Rotated
169,4.0,8.0,Strict,Translucent,Closed,Strict
25,2.8,6.5,Rotated,Translucent,Closed,Strict
18,2.8,6.5,Strict,Color,Open,Chaos
17,2.8,6.5,Strict,Color,Open,Rotated
20,2.8,6.5,Rotated,Solid,Closed,Rotated
54,2.8,6.5,Chaos,Color,Open,Chaos
83,2.8,8.0,Rotated,Translucent,Open,Rotated
1,2.8,6.5,Strict,Solid,Closed,Strict
112,4.0,6.5,Strict,Solid,Open,Strict
137,4.0,6.5,Rotated,Translucent,Open,Rotated
183,4.0,8.0,Rotated,Solid,Closed,Chaos
111,4.0,6.5,Strict,Solid,Closed,Chaos
4,2.8,6.5,Strict,Solid,Open,Strict
16,2.8,6.5,Strict,Color,Open,Strict
285,8.5,8.0,Strict,Color,Closed,Chaos
291,8.5,8.0,Rotated,Solid,Closed,Chaos
13,2.8,6.5,Strict,Color,Closed,Strict
271,8.5,8.0,Strict,Solid,Closed,Strict
