trial,phase,x,y
1,warmup,"[4.0, 8.0, 2.0, 2.0, 1.0, 2.0]",4.792469998550499
2,warmup,"[2.799999952316284, 8.0, 0.0, 1.0, 0.0, 2.0]",2.233536473793073
3,warmup,"[2.799999952316284, 8.0, 2.0, 0.0, 1.0, 1.0]",4.4987202607642685
3,main,"[2.799999952316284, 6.5, 2.0, 2.0, 0.0, 2.0]",4.462733022812781
4,main,"[4.0, 8.0, 2.0, 0.0, 0.0, 2.0]",4.019701996830463
5,main,"[4.0, 8.0, 2.0, 2.0, 0.0, 0.0]",4.519714638516563
6,main,"[8.5, 8.0, 2.0, 0.0, 1.0, 1.0]",6.925993968672541
7,main,"[2.799999952316284, 6.5, 1.0, 0.0, 0.0, 0.0]",3.405924750984483
8,main,"[2.799999952316284, 6.5, 2.0, 1.0, 0.0, 0.0]",3.128504756208688
9,main,"[8.5, 8.0, 1.0, 0.0, 0.0, 1.0]",5.31777128124491
10,main,"[2.799999952316284, 8.0, 0.0, 2.0, 0.0, 0.0]",2.3831683622292896
11,main,"[4.0, 8.0, 0.0, 2.0, 0.0, 0.0]",2.7413880897509024
12,main,"[2.799999952316284, 6.5, 1.0, 2.0, 0.0, 1.0]",3.0513109586425893
13,main,"[4.0, 6.5, 0.0, 0.0, 0.0, 1.0]",0.9767742116134959
14,main,"[4.0, 6.5, 2.0, 0.0, 0.0, 0.0]",2.4218133166486804
15,main,"[8.5, 6.5, 0.0, 2.0, 1.0, 1.0]",3.81703860248445
16,main,"[2.799999952316284, 6.5, 2.0, 2.0, 1.0, 0.0]",2.8201200760855127
17,main,"[2.799999952316284, 6.5, 0.0, 2.0, 0.0, 2.0]",2.3819704317932464
18,main,"[8.5, 8.0, 2.0, 2.0, 1.0, 0.0]",5.360821562580518
19,main,"[2.799999952316284, 6.5, 1.0, 0.0, 1.0, 2.0]",1.557526162190778
20,main,"[8.5, 8.0, 0.0, 0.0, 1.0, 1.0]",5.478549552069596
21,main,"[4.0, 6.5, 2.0, 2.0, 0.0, 0.0]",3.7761522963090832
22,main,"[2.799999952316284, 6.5, 0.0, 2.0, 1.0, 0.0]",2.741996703304587
23,main,"[4.0, 8.0, 2.0, 0.0, 0.0, 0.0]",3.4029439919830695
24,main,"[2.799999952316284, 6.5, 2.0, 0.0, 0.0, 2.0]",2.6708253354942104
25,main,"[8.5, 6.5, 2.0, 0.0, 1.0, 2.0]",4.89541044712473
26,main,"[4.0, 8.0, 2.0, 1.0, 0.0, 0.0]",3.713735040752258
27,main,"[2.799999952316284, 6.5, 2.0, 2.0, 0.0, 0.0]",3.8792875075047686
28,main,"[2.799999952316284, 8.0, 0.0, 2.0, 1.0, 1.0]",2.3775081944574055
29,main,"[8.5, 8.0, 1.0, 0.0, 1.0, 1.0]",4.805395863025102
30,main,"[4.0, 8.0, 2.0, 2.0, 0.0, 2.0]",3.936686003950796
31,main,"[4.0, 6.5, 0.0, 2.0, 0.0, 1.0]",4.076254202071882
32,main,"[8.5, 6.5, 0.0, 1.0, 0.0, 0.0]",4.0396071369517905
33,main,"[2.799999952316284, 6.5, 1.0, 0.0, 0.0, 2.0]",1.7005625942407003
34,main,"[8.5, 8.0, 0.0, 0.0, 1.0, 0.0]",5.133359582319455
35,main,"[2.799999952316284, 8.0, 2.0, 2.0, 1.0, 0.0]",3.4099504759490475
36,main,"[2.799999952316284, 8.0, 2.0, 0.0, 0.0, 0.0]",4.3008250492159785
37,main,"[8.5, 8.0, 1.0, 2.0, 1.0, 2.0]",3.5710540549784984
38,main,"[2.799999952316284, 6.5, 0.0, 0.0, 1.0, 1.0]",1.3172967280430938
39,main,"[4.0, 8.0, 1.0, 0.0, 1.0, 0.0]",3.98158320198515
40,main,"[8.5, 8.0, 0.0, 2.0, 0.0, 2.0]",4.718619266596466
41,main,"[2.799999952316284, 8.0, 1.0, 0.0, 1.0, 0.0]",3.6019536125770872
42,main,"[4.0, 8.0, 1.0, 0.0, 0.0, 2.0]",3.310950870244771
43,main,"[8.5, 8.0, 0.0, 2.0, 0.0, 0.0]",4.218150154396247
44,main,"[2.799999952316284, 8.0, 0.0, 2.0, 1.0, 0.0]",1.8515380531119663
45,main,"[4.0, 8.0, 2.0, 1.0, 1.0, 1.0]",3.9057200602679236
46,main,"[8.5, 8.0, 1.0, 0.0, 1.0, 2.0]",4.525308196726889
47,main,"[2.799999952316284, 8.0, 0.0, 0.0, 1.0, 2.0]",3.3039840998834507
48,main,"[4.0, 6.5, 2.0, 1.0, 0.0, 1.0]",3.964586130651431
49,main,"[4.0, 6.5, 2.0, 1.0, 1.0, 0.0]",2.502459133418829
50,main,"[8.5, 6.5, 2.0, 1.0, 0.0, 0.0]",5.449544704117708
51,main,"[8.5, 6.5, 2.0, 1.0, 0.0, 1.0]",4.753486691763152
52,main,"[8.5, 8.0, 0.0, 1.0, 1.0, 1.0]",3.9287700597644113
