trial,phase,x,y
1,warmup,"[4.0, 6.5, 1.0, 1.0, 0.0, 0.0]",3.6574699216605073
2,warmup,"[2.799999952316284, 8.0, 1.0, 1.0, 1.0, 1.0]",3.313536524158998
3,warmup,"[2.799999952316284, 8.0, 2.0, 1.0, 1.0, 0.0]",4.748720260764268
3,main,"[2.799999952316284, 8.0, 0.0, 0.0, 0.0, 1.0]",3.562732975129065
4,main,"[8.5, 6.5, 0.0, 1.0, 0.0, 2.0]",3.5697019014630316
5,main,"[4.0, 8.0, 1.0, 2.0, 1.0, 1.0]",3.6997145935150564
6,main,"[8.5, 6.5, 0.0, 1.0, 1.0, 2.0]",5.215993867940691
7,main,"[8.5, 6.5, 2.0, 1.0, 1.0, 2.0]",5.500924794495874
8,main,"[2.799999952316284, 8.0, 1.0, 0.0, 1.0, 1.0]",2.9585047588908973
9,main,"[4.0, 6.5, 2.0, 0.0, 1.0, 1.0]",4.027771286609327
10,main,"[8.5, 6.5, 2.0, 0.0, 0.0, 0.0]",4.74316842421812
11,main,"[4.0, 6.5, 0.0, 0.0, 0.0, 0.0]",2.2413880897509024
12,main,"[4.0, 6.5, 2.0, 2.0, 1.0, 1.0]",3.9963110021539796
13,main,"[2.799999952316284, 6.5, 1.0, 1.0, 0.0, 1.0]",1.2917742211502392
14,main,"[8.5, 6.5, 1.0, 0.0, 0.0, 2.0]",2.8968132928068226
15,main,"[4.0, 6.5, 2.0, 1.0, 1.0, 2.0]",3.1270386555325844
16,main,"[2.799999952316284, 8.0, 0.0, 1.0, 1.0, 0.0]",2.110120023037379
17,main,"[2.799999952316284, 6.5, 1.0, 0.0, 0.0, 0.0]",3.056970455635104
18,main,"[2.799999952316284, 8.0, 1.0, 0.0, 1.0, 2.0]",2.4708214979094776
19,main,"[2.799999952316284, 6.5, 0.0, 1.0, 1.0, 2.0]",1.2025261356667112
20,main,"[8.5, 8.0, 1.0, 2.0, 0.0, 0.0]",6.378549599753313
21,main,"[2.799999952316284, 6.5, 2.0, 2.0, 0.0, 1.0]",3.2661522820039686
22,main,"[2.799999952316284, 8.0, 1.0, 1.0, 0.0, 1.0]",3.3419967509883026
23,main,"[8.5, 8.0, 1.0, 0.0, 0.0, 0.0]",3.9529439442993546
24,main,"[2.799999952316284, 6.5, 2.0, 2.0, 0.0, 2.0]",2.8708253354942106
25,main,"[8.5, 6.5, 0.0, 2.0, 0.0, 1.0]",4.085410394076597
26,main,"[4.0, 6.5, 0.0, 2.0, 0.0, 0.0]",1.9137349453848271
27,main,"[2.799999952316284, 6.5, 2.0, 2.0, 1.0, 1.0]",3.7392875128691867
28,main,"[4.0, 8.0, 0.0, 1.0, 0.0, 2.0]",2.23750820876252
29,main,"[4.0, 6.5, 2.0, 1.0, 1.0, 0.0]",3.635395865707311
30,main,"[4.0, 8.0, 1.0, 0.0, 0.0, 1.0]",3.0866859562670803
31,main,"[4.0, 6.5, 0.0, 2.0, 0.0, 2.0]",3.9262542020718825
32,main,"[4.0, 8.0, 1.0, 0.0, 1.0, 0.0]",3.8196071873177155
33,main,"[8.5, 6.5, 2.0, 1.0, 0.0, 1.0]",4.235562632387672
34,main,"[8.5, 6.5, 2.0, 2.0, 0.0, 2.0]",5.633359630003172
35,main,"[4.0, 6.5, 2.0, 0.0, 0.0, 1.0]",2.659950437206029
36,main,"[4.0, 8.0, 1.0, 2.0, 0.0, 1.0]",3.9108250158373776
37,main,"[2.799999952316284, 8.0, 0.0, 2.0, 0.0, 2.0]",0.9310539903074584
38,main,"[2.799999952316284, 6.5, 1.0, 0.0, 1.0, 2.0]",1.622296754567161
39,main,"[8.5, 8.0, 1.0, 1.0, 0.0, 0.0]",5.301583199302942
40,main,"[2.799999952316284, 8.0, 0.0, 1.0, 0.0, 1.0]",3.0586192522913516
41,main,"[8.5, 8.0, 2.0, 0.0, 0.0, 0.0]",5.98195367188371
42,main,"[2.799999952316284, 6.5, 0.0, 2.0, 1.0, 1.0]",2.4509508082559406
43,main,"[8.5, 8.0, 2.0, 0.0, 1.0, 0.0]",5.628150255128098
44,main,"[4.0, 6.5, 0.0, 1.0, 0.0, 2.0]",1.2615380674170813
45,main,"[8.5, 8.0, 2.0, 1.0, 1.0, 1.0]",5.255720060267924
46,main,"[8.5, 6.5, 1.0, 2.0, 1.0, 2.0]",4.200308172885031
47,main,"[2.799999952316284, 6.5, 2.0, 0.0, 1.0, 1.0]",4.063984152931584
48,main,"[8.5, 6.5, 2.0, 0.0, 0.0, 2.0]",5.06458613065143
49,main,"[8.5, 8.0, 0.0, 1.0, 1.0, 1.0]",3.092459080370694
50,main,"[8.5, 8.0, 0.0, 0.0, 1.0, 1.0]",4.5995446564339915
51,main,"[8.5, 6.5, 2.0, 2.0, 0.0, 0.0]",5.003486691763152
52,main,"[2.799999952316284, 8.0, 2.0, 0.0, 1.0, 2.0]",3.3287701461911468
