x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y
0,1,0.5,mid,C,False,2
0,3,0.5,high,B,True,2
1,3,1.0,max,A,True,1
1,5,1.0,max,C,True,4
0,5,0.0,max,A,True,3
1,5,1.0,low,A,False,5
1,5,0.0,low,C,False,5
0,5,0.0,low,A,False,5
1,3,0.75,mid,C,True,2
0,5,1.0,low,A,True,5
0,2,0.5,max,C,False,3
0,1,0.5,max,C,False,2
0,1,0.0,max,C,True,1
1,4,0.75,low,C,True,4
1,3,0.5,high,B,True,2
0,3,0.0,low,C,True,2
0,4,0.0,mid,B,True,4
0,2,0.5,max,B,False,2
0,1,0.0,max,A,True,1
0,1,0.0,low,A,False,4
1,3,0.25,mid,A,False,5
1,3,0.0,mid,B,False,4
0,1,0.75,high,A,False,2
1,1,1.0,low,C,False,2
1,2,0.75,max,C,False,3
