Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
161,4.0,6.5,Chaos,Color,Open,Rotated
311,8.5,8.0,Chaos,Solid,Open,Rotated
137,4.0,6.5,Rotated,Translucent,Open,Rotated
305,8.5,8.0,Rotated,Color,Open,Rotated
211,4.0,8.0,Chaos,Color,Closed,Strict
287,8.5,8.0,Strict,Color,Open,Rotated
61,2.8,8.0,Strict,Translucent,Closed,Strict
271,8.5,8.0,Strict,Solid,Closed,Strict
169,4.0,8.0,Strict,Translucent,Closed,Strict
242,8.5,6.5,Rotated,Translucent,Closed,Rotated
324,8.5,8.0,Chaos,Color,Open,Chaos
129,4.0,6.5,Rotated,Solid,Closed,Chaos
274,8.5,8.0,Strict,Solid,Open,Strict
121,4.0,6.5,Strict,Color,Closed,Strict
255,8.5,6.5,Chaos,Solid,Closed,Chaos
1,2.8,6.5,Strict,Solid,Closed,Strict
166,4.0,8.0,Strict,Solid,Open,Strict
293,8.5,8.0,Rotated,Solid,Open,Rotated
303,8.5,8.0,Rotated,Color,Closed,Chaos
119,4.0,6.5,Strict,Translucent,Open,Rotated
308,8.5,8.0,Chaos,Solid,Closed,Rotated
250,8.5,6.5,Rotated,Color,Open,Strict
236,8.5,6.5,Rotated,Solid,Closed,Rotated
155,4.0,6.5,Chaos,Translucent,Open,Rotated
111,4.0,6.5,Strict,Solid,Closed,Chaos
206,4.0,8.0,Chaos,Translucent,Closed,Rotated
294,8.5,8.0,Rotated,Solid,Open,Chaos
56,2.8,8.0,Strict,Solid,Closed,Rotated
276,8.5,8.0,Strict,Solid,Open,Chaos
13,2.8,6.5,Strict,Color,Closed,Strict
204,4.0,8.0,Chaos,Solid,Open,Chaos
284,8.5,8.0,Strict,Color,Closed,Rotated
54,2.8,6.5,Chaos,Color,Open,Chaos
134,4.0,6.5,Rotated,Translucent,Closed,Rotated
117,4.0,6.5,Strict,Translucent,Closed,Chaos
219,8.5,6.5,Strict,Solid,Closed,Chaos
244,8.5,6.5,Rotated,Translucent,Open,Strict
33,2.8,6.5,Rotated,Color,Closed,Chaos
65,2.8,8.0,Strict,Translucent,Open,Rotated
266,8.5,6.5,Chaos,Color,Closed,Rotated
28,2.8,6.5,Rotated,Translucent,Open,Strict
252,8.5,6.5,Rotated,Color,Open,Chaos
64,2.8,8.0,Strict,Translucent,Open,Strict
73,2.8,8.0,Rotated,Solid,Closed,Strict
213,4.0,8.0,Chaos,Color,Closed,Chaos
253,8.5,6.5,Chaos,Solid,Closed,Strict
22,2.8,6.5,Rotated,Solid,Open,Strict
142,4.0,6.5,Rotated,Color,Open,Strict
229,8.5,6.5,Strict,Color,Closed,Strict
176,4.0,8.0,Strict,Color,Closed,Rotated
58,2.8,8.0,Strict,Solid,Open,Strict
177,4.0,8.0,Strict,Color,Closed,Chaos
299,8.5,8.0,Rotated,Translucent,Open,Rotated
249,8.5,6.5,Rotated,Color,Closed,Chaos
151,4.0,6.5,Chaos,Translucent,Closed,Strict
123,4.0,6.5,Strict,Color,Closed,Chaos
99,2.8,8.0,Chaos,Translucent,Closed,Chaos
83,2.8,8.0,Rotated,Translucent,Open,Rotated
59,2.8,8.0,Strict,Solid,Open,Rotated
227,8.5,6.5,Strict,Translucent,Open,Rotated
306,8.5,8.0,Rotated,Color,Open,Chaos
2,2.8,6.5,Strict,Solid,Closed,Rotated
208,4.0,8.0,Chaos,Translucent,Open,Strict
14,2.8,6.5,Strict,Color,Closed,Rotated
171,4.0,8.0,Strict,Translucent,Closed,Chaos
179,4.0,8.0,Strict,Color,Open,Rotated
39,2.8,6.5,Chaos,Solid,Closed,Chaos
24,2.8,6.5,Rotated,Solid,Open,Chaos
19,2.8,6.5,Rotated,Solid,Closed,Strict
256,8.5,6.5,Chaos,Solid,Open,Strict
194,4.0,8.0,Rotated,Color,Closed,Rotated
70,2.8,8.0,Strict,Color,Open,Strict
182,4.0,8.0,Rotated,Solid,Closed,Rotated
203,4.0,8.0,Chaos,Solid,Open,Rotated
149,4.0,6.5,Chaos,Solid,Open,Rotated
130,4.0,6.5,Rotated,Solid,Open,Strict
281,8.5,8.0,Strict,Translucent,Open,Rotated
112,4.0,6.5,Strict,Solid,Open,Strict
69,2.8,8.0,Strict,Color,Closed,Chaos
141,4.0,6.5,Rotated,Color,Closed,Chaos
42,2.8,6.5,Chaos,Solid,Open,Chaos
5,2.8,6.5,Strict,Solid,Open,Rotated
218,8.5,6.5,Strict,Solid,Closed,Rotated
290,8.5,8.0,Rotated,Solid,Closed,Rotated
280,8.5,8.0,Strict,Translucent,Open,Strict
50,2.8,6.5,Chaos,Color,Closed,Rotated
114,4.0,6.5,Strict,Solid,Open,Chaos
