x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture,pred_mean,pred_std
2.8,6.5,2,1,0,2,0.3141061,0.6839721
2.8,6.5,2,1,0,1,0.54924643,0.6865887
2.8,6.5,2,1,0,0,0.7248025,0.70122427
2.8,6.5,2,1,1,2,0.31241548,0.68749225
2.8,6.5,2,1,1,1,0.5458925,0.6867122
2.8,6.5,2,1,1,0,0.71989286,0.69869673
2.8,6.5,2,2,0,2,0.87973034,0.70197856
2.8,6.5,2,2,0,1,1.1328963,0.6971076
2.8,6.5,2,2,0,0,1.2575718,0.71300006
2.8,6.5,2,2,1,2,0.8878312,0.7024407
2.8,6.5,2,2,1,1,1.1545237,0.6963164
2.8,6.5,2,2,1,0,1.2918289,0.7123106
2.8,6.5,2,0,0,2,-0.06002902,0.6988286
2.8,6.5,2,0,0,1,0.08748986,0.6890528
2.8,6.5,2,0,0,0,0.22129072,0.6919221
2.8,6.5,2,0,1,2,-0.09440003,0.69409305
2.8,6.5,2,0,1,1,0.041825186,0.6811483
2.8,6.5,2,0,1,0,0.16923739,0.6823607
2.8,6.5,1,1,0,2,0.06713499,0.69159544
2.8,6.5,1,1,0,1,0.2936083,0.68775153
2.8,6.5,1,1,0,0,0.47763455,0.69556534
2.8,6.5,1,1,1,2,0.017404448,0.692306
2.8,6.5,1,1,1,1,0.2467226,0.6871764
2.8,6.5,1,1,1,0,0.43732262,0.69478
2.8,6.5,1,2,0,2,0.5569118,0.69599223
2.8,6.5,1,2,0,1,0.79359865,0.68790185
2.8,6.5,1,2,0,0,0.9462769,0.6996816
2.8,6.5,1,2,1,2,0.5363642,0.6949958
2.8,6.5,1,2,1,1,0.79073524,0.684526
2.8,6.5,1,2,1,0,0.9615476,0.6961527
2.8,6.5,1,0,0,2,-0.22458886,0.69967455
2.8,6.5,1,0,0,1,-0.073495254,0.69267565
2.8,6.5,1,0,0,0,0.06586124,0.7008451
2.8,6.5,1,0,1,2,-0.2882049,0.6929094
2.8,6.5,1,0,1,1,-0.14715289,0.6846089
2.8,6.5,1,0,1,0,-0.010937918,0.6929183
2.8,6.5,0,1,0,2,-0.16576247,0.7101278
2.8,6.5,0,1,0,1,0.013317358,0.7008958
2.8,6.5,0,1,0,0,0.1767682,0.70844674
2.8,6.5,0,1,1,2,-0.24757902,0.70868295
2.8,6.5,0,1,1,1,-0.06726311,0.6982472
2.8,6.5,0,1,1,0,0.103977636,0.705889
2.8,6.5,0,2,0,2,0.22740604,0.7088891
2.8,6.5,0,2,0,1,0.4062568,0.7001216
2.8,6.5,0,2,0,0,0.5457283,0.71338904
2.8,6.5,0,2,1,2,0.17598183,0.7131392
2.8,6.5,0,2,1,1,0.3686676,0.70150703
2.8,6.5,0,2,1,0,0.52451694,0.7118596
2.8,6.5,0,0,0,2,-0.35955024,0.71988755
2.8,6.5,0,0,0,1,-0.22579597,0.7097988
2.8,6.5,0,0,0,0,-0.09492855,0.7219703
2.8,6.5,0,0,1,2,-0.43542165,0.7156752
2.8,6.5,0,0,1,1,-0.3080361,0.7043858
2.8,6.5,0,0,1,0,-0.17881303,0.7162849
2.8,8.0,2,1,0,2,0.1183361,0.6944106
2.8,8.0,2,1,0,1,0.37318432,0.69119614
2.8,8.0,2,1,0,0,0.5787939,0.702106
2.8,8.0,2,1,1,2,0.099494234,0.6937834
2.8,8.0,2,1,1,1,0.36408746,0.688964
2.8,8.0,2,1,1,0,0.5799674,0.7000439
2.8,8.0,2,2,0,2,0.47378814,0.712571
2.8,8.0,2,2,0,1,0.7100214,0.7058506
2.8,8.0,2,2,0,0,0.86920273,0.7196911
2.8,8.0,2,2,1,2,0.47858965,0.7135488
